neo4j_user,user_id,rank,neo4j_resource,resource_id,rel,neo4j_course,course_id
12435052,U_1000454,1,8643677,V_7396061,,8398470,C_2199449
12435384,U_1002784,1,8583726,V_4411676,,8397555,C_1756056
12435384,U_1002784,2,8583728,V_4411678,,8397555,C_1756056
12435384,U_1002784,3,8583730,V_4411680,,8397555,C_1756056
12442004,U_100281,3,8544635,V_731716,,8397010,C_747033
12442004,U_100281,1,8544636,V_731719,,8397010,C_747033
12442004,U_100281,1,8592477,V_4678102,,8397639,C_1764867
12442004,U_100281,2,8544637,V_731722,,8397010,C_747033
12442004,U_100281,1,8592339,V_4677748,,8397638,C_1764866
12909470,U_10033817,2,8403591,V_1642632,,8395192,C_676642
12909470,U_10033817,1,8403562,V_1642603,,8395192,C_676642
12909470,U_10033817,3,8403590,V_1642631,,8395192,C_676642
12435541,U_1004646,1,8625597,V_6293315,,8398137,C_735164
12435547,U_1004659,1,8625577,V_6293270,,8398137,C_735164
12435549,U_1004662,1,8625577,V_6293270,,8398137,C_735164
12435549,U_1004662,2,8625650,V_6293464,,8398137,C_735164
12435552,U_1004670,2,8625575,V_6293261,,8398137,C_735164
12435552,U_1004670,1,8625574,V_6293257,,8398137,C_735164
12435594,U_1004954,6,8625582,V_6293288,,8398137,C_735164
12435594,U_1004954,3,8625579,V_6293279,,8398137,C_735164
12435594,U_1004954,2,8625578,V_6293274,,8398137,C_735164
12435594,U_1004954,1,8625572,V_6293250,,8398137,C_735164
12435594,U_1004954,4,8625580,V_6293280,,8398137,C_735164
12435594,U_1004954,5,8625581,V_6293285,,8398137,C_735164
12435617,U_1005254,2,8625578,V_6293274,,8398137,C_735164
12435617,U_1005254,3,8625579,V_6293279,,8398137,C_735164
12435617,U_1005254,1,8625577,V_6293270,,8398137,C_735164
12435658,U_1005500,2,8625617,V_6293374,,8398137,C_735164
12435658,U_1005500,3,8625618,V_6293377,,8398137,C_735164
12435658,U_1005500,1,8625616,V_6293371,,8398137,C_735164
12435658,U_1005500,4,8625619,V_6293381,,8398137,C_735164
12435660,U_1005547,1,8625648,V_6293460,,8398137,C_735164
12910787,U_10057731,4,8571604,V_2145537,,8397355,C_1410156
12910787,U_10057731,3,8571622,V_3939504,,8397355,C_1410156
12910787,U_10057731,7,8571644,V_2145565,,8397355,C_1410156
12910787,U_10057731,5,8571608,V_2145542,,8397355,C_1410156
12910787,U_10057731,1,8571607,V_2145541,,8397355,C_1410156
12910787,U_10057731,6,8571624,V_3939505,,8397355,C_1410156
12910787,U_10057731,2,8571618,V_3939502,,8397355,C_1410156
12910787,U_10057731,8,8571645,V_2145566,,8397355,C_1410156
12435766,U_1006254,2,8625663,V_6293491,,8398137,C_735164
12435766,U_1006254,3,8625664,V_6293498,,8398137,C_735164
12435766,U_1006254,1,8625662,V_6293487,,8398137,C_735164
12911750,U_10068981,3,8588529,V_4551322,,8397587,C_1761364
12911750,U_10068981,4,8588536,V_4551329,,8397587,C_1761364
12911750,U_10068981,2,8588528,V_4551321,,8397587,C_1761364
12911750,U_10068981,1,8599597,V_4975686,,8397747,C_1778562
12911750,U_10068981,1,8588417,V_4550907,,8397585,C_1761358
12911750,U_10068981,1,8588527,V_4551320,,8397587,C_1761364
12911750,U_10068981,2,8588418,V_4550908,,8397585,C_1761358
12911750,U_10068981,4,8588426,V_4550922,,8397585,C_1761358
12911750,U_10068981,3,8588421,V_4550916,,8397585,C_1761358
12911883,U_10071644,1,8614508,V_6019167,,8397971,C_1894860
12912023,U_10073375,5,8499780,V_6294210,,8396485,C_735197
12912023,U_10073375,2,8499768,V_6294067,,8396485,C_735197
12912023,U_10073375,3,8499764,V_6294041,,8396485,C_735197
12912023,U_10073375,4,8499765,V_6294044,,8396485,C_735197
12912023,U_10073375,1,8499763,V_6294037,,8396485,C_735197
12912034,U_10073419,2,8650760,V_7043644,,8398655,C_2059947
12912034,U_10073419,4,8650764,V_7043648,,8398655,C_2059947
12912034,U_10073419,1,8650753,V_7043636,,8398655,C_2059947
12912034,U_10073419,3,8650761,V_7043645,,8398655,C_2059947
12436100,U_1008050,2,8625583,V_6293290,,8398137,C_735164
